name,type,location_city,location_department,area_ha,price_per_ha,transaction_type,soil_type,water_source,altitude,image_url,polygon_data,is_listed,current_valuation,source_note
Predio La Esmeralda,Agrícola,Semisa,Colombia,1,0,Venta,Citricos,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Citricos. Usuarios fuente: Usuario Numero 100. Secuencias: 100.
Predio La Cabaña,Agrícola,Alto Semisa,Colombia,1,0,Venta,Café,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Café. Usuarios fuente: Usuario Numero 101. Secuencias: 101.
Predio Aracataka,Agrícola,Semisa,Colombia,1,0,Venta,Potreros,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Potreros. Usuarios fuente: Usuario Numero 102. Secuencias: 102.
Predio La Cabaña,Agrícola,Popoita,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 103. Secuencias: 103.
Predio Santa Rosa,Agrícola,Medios Santa Rita,Colombia,1,0,Venta,Café,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Café. Usuarios fuente: Usuario Numero 104. Secuencias: 104.
Predio El Encanto,Agrícola,Medios Santa Rita,Colombia,1,0,Venta,Café,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Café. Usuarios fuente: Usuario Numero 105, Usuario Numero 107, Usuario Numero 108. Secuencias: 105, 107, 108."
Predio Paraiso,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 106. Secuencias: 106.
Predio Volcanes,Agrícola,Popoa Norte,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 110. Secuencias: 110.
Predio Los Naranjos,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 111. Secuencias: 111.
Predio La Primavera,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 112. Secuencias: 112.
Predio Cartagena,Agrícola,La Cuchilla,Colombia,1,0,Venta,No Aplica,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: No Aplica. Usuarios fuente: Usuario Numero 113. Secuencias: 113.
Predio Progreso,Agrícola,Alto Semisa,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 114. Secuencias: 114.
Predio Rubiales,Agrícola,Popoita,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 115. Secuencias: 115.
Predio La Rita,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 116. Secuencias: 116.
Predio Los Medios,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 117. Secuencias: 117.
Predio Delicias,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 118. Secuencias: 118.
Predio La Puentana,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 119, Usuario Numero 121. Secuencias: 119, 121."
Predio La Bodega,Agrícola,Popoita,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 120. Secuencias: 120.
